a_code,name,overseas_rev_pct,fy,basis_note,source_url
300308,Zhongji Innolight 中际旭创,86.8,FY2024,境外收入 20.72bn CNY of revenue; annual report geographic split,https://www.sohu.com/a/886840817_122014422
300750,CATL 宁德时代,30.5,FY2024,overseas 110.3bn CNY = 30.48% of revenue; down from 32.67% in 2023,https://www.catl.com/uploads/1/file/public/202503/20250317094543_6ig9e0mwng.pdf
000333,Midea Group 美的集团,41.5,FY2024,海外 169.0bn CNY = 41.52% of main-business revenue (mainland China 240.1bn),https://finance.sina.com.cn/stock/relnews/cn/2025-03-31/doc-inerpqhn8228508.shtml
300866,Anker Innovations 安克创新,96.4,FY2024,境外 23.83bn of 24.71bn CNY; domestic only 3.58%,https://www.52audio.com/archives/237827.html
600276,Hengrui Pharma 恒瑞医药,2.6,FY2024,overseas revenue 716m of 27.99bn CNY (2.56%); excludes licensing deals booked variously,https://www.stcn.com/article/detail/1625434.html
002714,Muyuan Foods 牧原股份,0,FY2024,no overseas revenue segment disclosed; domestic hog producer; internationalization only starting,https://cd.nbd.com.cn/articles/2025-05-27/3890507.html
601888,China Tourism Group Duty Free 中国中免,NA,FY2024,A-share report splits Hainan 51.2%/Shanghai 28% etc; HK-Macau-overseas share not separately quantified (qualitatively small single-digit),https://xinwen.bjd.com.cn/content/s67ea8ca8e4b08edd28f6f75a.html
300450,Wuxi Lead Intelligent 先导智能,23.9,FY2024,overseas 2.83bn CNY = 23.88% of revenue; overseas GM 39.3%,https://caijing.chinadaily.com.cn/a/202504/30/WS6811fe81a31020537703158d.html
601127,Seres 赛力斯,2.9,FY2024,overseas 4.21bn of 145.2bn CNY; share collapsed from 13.9% as domestic AITO sales tripled,https://www.tfcaijing.com/article/page/49685a6f384e3042587477767348526e766e577977513d3d
300476,Victory Giant Tech 胜宏科技,65,FY2024,境外营收占比约65% of 10.73bn CNY revenue per annual report commentary (approximate),https://m.jiemian.com/article/12850998.html
603288,Haitian Flavouring 海天味业,6.6,FY2024,derived: five domestic regions 25.13bn of 26.90bn total (93.4%); company states overseas share low,https://m.bjnews.com.cn/detail/1743774663168895.html
600031,SANY Heavy Industry 三一重工,64,FY2024,international main-business revenue 48.51bn CNY = 63.98% of main-business revenue,https://finance.sina.com.cn/roll/2025-04-21/doc-inetwqya8911955.shtml
301377,Dtech 鼎泰高科,5.9,FY2024,境外收入 92.7m of 1.58bn CNY (+96.95% yoy); by billing region so exports embedded in domestic PCB customers not captured,https://m.21jingji.com/article/20250423/herald/66df97ab9c4a9e2ebddc7014f196f8a1.html
002352,SF Holding 顺丰控股,11.3,FY2024,overseas-market revenue 11.31% of total (geographic basis incl HK/Macau and Kerry Logistics international),https://paper.cnstock.com/html/2025-03/29/content_2042068.htm
002821,Asymchem 凯莱英,73.9,FY2024,境外收入 4.285bn of 5.80bn CNY revenue (outside-mainland customers; CDMO exports),https://pdf.dfcfw.com/pdf/H3_AP202504231660998818_1.pdf
605499,Eastroc Beverage,0.3,FY2024,overseas <RMB50m of RMB15.84bn,src
002466,Tianqi Lithium,8.42,FY2025,Greenbushes/SQM upstream intercompany or equity-accounted so understated,src
688052,Novosense Microelectronics,12.15,FY2025,incl HK/Japan billing,src
603501,Will Semiconductor,79.92,FY2025,billing location; end demand largely China,src
688008,Montage Technology,71.49,FY2025,overseas billing,src
603986,GigaDevice,69.70,FY2025,HK 46.93 + other 22.77; distributor billing basis,src
300433,Lens Technology,55.04,FY2025,customer billing; bonded-zone assembly caveat,src
002050,Sanhua Intelligent Controls,42.96,FY2025,,src
002600,Lingyi iTech,73.43,FY2025,incl HK/overseas delivery Apple chain,src
603296,Huaqin Technology,53.08,FY2025,,src
688249,Nexchip,36.81,FY2025,incl Taiwan DDIC customers,src
002487,Dajin Heavy Industry,74.46,FY2025,export basis; jump from 45.85 FY2024 on EU offshore wind,src
603127,Joinn Laboratories,27.35,FY2025,,src
301200,Han's CNC,10.55,FY2025,sales-region basis; domestic China PCB customers,src
001389,Delton / Guanghe Technology 广合科技,66.64,FY2025,server PCB; direct US export ~0.12%,src
300748,JL MAG Rare-Earth 金力永磁,18.0,FY2024,境外收入 RMB12.22bn of 67.63bn total; Americas 6%,https://www.jlmag.com.cn/uploads/soft/20250407/1743994232864164.pdf
688630,CFMEE 芯碁微装,20.0,FY2024,外销 (export sales) RMB188m; pct estimated vs FY24 revenue ~RMB940m; FY2025 overseas RMB274m (+45.5%) ~ similar share,https://stock.10jqka.com.cn/20260416/c676023794.shtml
300919,CNGR Advanced Material 中伟股份,44.46,FY2024,境外 RMB17.88bn / 44.46% per annual report; incl nickel/new-energy metals sales,https://static.cninfo.com.cn/finalpage/2025-04-12/1223071473.PDF
002130,Woer Heat-Shrinkable 沃尔核材,11.5,FY2024,"overseas business RMB795m vs total RMB6.93bn (computed, not a disclosed pct)",https://finance.sina.com.cn/stock/aigc/stockfs/2025-04-26/doc-ineupaav8480427.shtml
603345,Anjoy Foods 安井食品,1.11,FY2024,"境外 RMB168m, +30.8% yoy; company defines 境外 excl mainland",https://paper.cnstock.com/html/2025-04/29/content_2059891.htm
600699,Joyson Electronics 均胜电子,74.09,FY2024,main-business split: overseas RMB41.4bn vs domestic RMB14.0bn (global auto safety/electronics ops),https://www.yinsfinance.com/article/1373660.shtml
