,SMIC,HuaHong,Nexchip,GigaDevice,Montage,OmniVision,SGMicro,Novosense,Ingenic,Biren,Iluvatar,Horizon,BlackSesame,Innoscience,SICC,Gpixel,ASMPT,CFMEE,NSing,Fortior,Axera,HSTECH
SMIC,1.0,0.715640769193427,0.6543901015734306,0.6904460071801104,0.6167080245663307,0.3755396010443162,0.4781161783502181,0.6871348636280838,0.29344451210560063,0.6756671961651888,0.6426946446946988,0.14319032935630993,0.4154787103003696,0.7895842431189157,0.572707283292741,0.695734250290005,0.5976242216098494,0.7079368514545784,0.6463497531638254,0.557554672684737,0.3829174501780707,0.4864364071894212
HuaHong,0.715640769193427,1.0,0.6485396101882644,0.6869730690037552,0.695583777239633,0.3888194858185892,0.5079437206916186,0.5644472309496953,0.21346482979745435,0.7182337885615815,0.6460176578405548,0.1412193381811004,0.3463280849383256,0.726760424151899,0.5720798956947253,0.7865754755565197,0.7050922448434447,0.58327926940413,0.6243310463665408,0.5920307481771347,0.4036733585624995,0.38289465009836465
Nexchip,0.6543901015734306,0.6485396101882644,1.0,0.6716759942015494,0.6059186250078739,0.5429370361540171,0.561665596333082,0.5980738139003495,0.8147012312575779,0.6541738762816149,0.6644650579628504,-0.02844944504757886,0.36442292913879004,0.6519681297418519,0.6111746777145628,0.6077381219519802,0.6942681985717081,0.45393219053779926,0.6309012431568947,0.6401643047257257,0.38187294194962745,0.30354405410938073
GigaDevice,0.6904460071801104,0.6869730690037552,0.6716759942015494,1.0,0.828886231553326,0.4033483571280254,0.43157212521519056,0.7704431500235182,0.7811331801054774,0.6879580694889443,0.5934214912454693,-0.09431728687507565,0.2782693720607537,0.6900760380800901,0.6290641520841509,0.6133487273930623,0.7734628511386455,0.517268830870373,0.6337011062919703,0.5332032110914657,0.317085265522826,0.17542962725217806
Montage,0.6167080245663307,0.695583777239633,0.6059186250078739,0.828886231553326,1.0,0.29894402339308435,0.39660836601819105,0.6312168935228241,0.4682396059863333,0.5081093297624474,0.5732159384346014,-0.08267724938461431,0.22243982633841847,0.6356636922360285,0.5236839105117261,0.6190088294448826,0.708602454382916,0.4902364565921956,0.4866318116573185,0.33064203480530385,0.23398227023210771,0.08874099572363335
OmniVision,0.3755396010443162,0.3888194858185892,0.5429370361540171,0.4033483571280254,0.29894402339308435,1.0,0.43413643617931635,0.4223849886672196,0.4363644842065013,0.4296919037446912,0.46171322355056904,0.13684872133745468,0.3476212292520506,0.3436784973296773,0.586102194378479,0.2751522650056618,0.38847181042788137,0.13591215060002357,0.38823702569224694,0.49910666879749993,0.19645209587206736,0.5085512607903632
SGMicro,0.4781161783502181,0.5079437206916186,0.561665596333082,0.43157212521519056,0.39660836601819105,0.43413643617931635,1.0,0.5480222160189506,0.3008202529847998,0.47664705813560126,0.4858448729180709,-0.02340292829131757,0.30416322254159345,0.5456345608245471,0.6259087729194519,0.5120919288356994,0.5790485066879199,0.6234745108397463,0.6446499595560278,0.4757554304712204,0.387392810593704,0.4613550050918079
Novosense,0.6871348636280838,0.5644472309496953,0.5980738139003495,0.7704431500235182,0.6312168935228241,0.4223849886672196,0.5480222160189506,1.0,0.7680619115304463,0.5821922396817623,0.5917373257448012,0.16004850566614126,0.37031513457741616,0.6909153911735142,0.6241485650121893,0.5482169996718633,0.7023500318738876,0.49973493886412496,0.702672973760576,0.5201018186456919,0.32938213804009575,0.2560069681147512
Ingenic,0.29344451210560063,0.21346482979745435,0.8147012312575779,0.7811331801054774,0.4682396059863333,0.4363644842065013,0.3008202529847998,0.7680619115304463,1.0,0.40789633316489626,0.378641561110715,0.2035211715512088,-0.29495506815820244,0.19903184726565087,0.5701998920915855,0.04115432424103034,0.51853976960567,0.2772027950623257,0.4206392834810821,0.5129917713265973,-0.13463164119060195,-0.18914605959127942
Biren,0.6756671961651888,0.7182337885615815,0.6541738762816149,0.6879580694889443,0.5081093297624474,0.4296919037446912,0.47664705813560126,0.5821922396817623,0.40789633316489626,1.0,0.6346936955480954,0.06403482084205912,0.30277327047061436,0.7082631950048397,0.6321970257149785,0.7616302552465508,0.7029377316015919,0.5441971473128915,0.7126962153762889,0.706593354771018,0.6389412659146256,0.3931427042692932
