List of Designated Securities Eligible for Short Selling,
Effective date : 11/09/2026,
Note : Delisted securities excluded,

No.,Stock Code,Stock Short Name,Currency,Type,Exempt from Tick Rule,Remarks
1,1,CKH HOLDINGS,HKD,EQTY,,,
2,2,CLP HOLDINGS,HKD,EQTY,,,
3,3,HK & CHINA GAS,HKD,EQTY,,,
4,4,WHARF HOLDINGS,HKD,EQTY,,,
5,5,HSBC HOLDINGS,HKD,EQTY,,,
6,6,POWER ASSETS,HKD,EQTY,,,
7,8,PCCW,HKD,EQTY,,,
8,10,HANG LUNG GROUP,HKD,EQTY,,,
9,12,HENDERSON LAND,HKD,EQTY,,,
10,13,HUTCHMED,HKD,EQTY,,,
11,14,HYSAN DEV,HKD,EQTY,,,
12,16,SHK PPT,HKD,EQTY,,,
13,17,NEW WORLD DEV,HKD,EQTY,,,
14,19,SWIRE PACIFIC A,HKD,EQTY,,,
15,20,SENSETIME-W,HKD,EQTY,,,
16,23,BANK OF E ASIA,HKD,EQTY,,,
17,27,GALAXY ENT,HKD,EQTY,,,
18,28,TIAN AN,HKD,EQTY,,,
19,29,DYNAMIC HOLD,HKD,EQTY,,,
20,30,YNBY INTL,HKD,EQTY,,,
21,34,KOWLOON DEV,HKD,EQTY,,,
22,38,FIRST TRACTOR,HKD,EQTY,,,
23,41,GREAT EAGLE H,HKD,EQTY,,,
24,45,HK&S HOTELS,HKD,EQTY,,,
25,50,HK FERRY (HOLD),HKD,EQTY,,,
26,53,GUOCO GROUP,HKD,EQTY,,,
27,62,TRANSPORT INT'L,HKD,EQTY,,,
28,64,GET NICE,HKD,EQTY,,,
29,66,MTR CORPORATION,HKD,EQTY,,,
30,68,MANYCORE TECH,HKD,EQTY,,Add,
31,69,SHANGRI-LA ASIA,HKD,EQTY,,,
32,71,MIRAMAR HOTEL,HKD,EQTY,,,
33,81,CH OVS G OCEANS,HKD,EQTY,,,
34,83,SINO LAND,HKD,EQTY,,,
35,86,SUN HUNG KAI CO,HKD,EQTY,,,
36,87,SWIRE PACIFIC B,HKD,EQTY,,,
37,88,TAI CHEUNG HOLD,HKD,EQTY,,,
38,100,MINIMAX-W,HKD,EQTY,,,
39,101,HANG LUNG PPT,HKD,EQTY,,,
40,107,SICHUAN EXPRESS,HKD,EQTY,,,
41,108,SR MEDICAL,HKD,EQTY,,,
42,116,CHOW SANG SANG,HKD,EQTY,,,
43,119,POLY PROPERTY,HKD,EQTY,,,
44,123,YUEXIU PROPERTY,HKD,EQTY,,,
45,133,CHINA MERCHANTS,HKD,EQTY,,,
46,135,KUNLUN ENERGY,HKD,EQTY,,,
47,136,CHINA RUYI,HKD,EQTY,,,
48,142,FIRST PACIFIC,HKD,EQTY,,,
49,144,CHINA MER PORT,HKD,EQTY,,,
50,148,KINGBOARD HLDG,HKD,EQTY,,,
51,151,WANT WANT CHINA,HKD,EQTY,,,
52,152,SHENZHEN INT'L,HKD,EQTY,,,
53,165,CHINA EB LTD,HKD,EQTY,,,
54,167,IDT INT'L,HKD,EQTY,,Add,
55,168,TSINGTAO BREW,HKD,EQTY,,,
56,173,K. WAH INT'L,HKD,EQTY,,,
57,175,GEELY AUTO,HKD,EQTY,,,
58,177,JIANGSU EXPRESS,HKD,EQTY,,,
59,178,SA SA INT'L,HKD,EQTY,,Add,
60,179,JOHNSON ELEC H,HKD,EQTY,,,
61,182,CONCORD NE,HKD,EQTY,,,
62,189,DONGYUE GROUP,HKD,EQTY,,,
63,200,MELCO INT'L DEV,HKD,EQTY,,,
64,215,HUTCHTEL HK,HKD,EQTY,,,
65,220,U-PRESID CHINA,HKD,EQTY,,,
66,241,ALI HEALTH,HKD,EQTY,,,
67,247,TST PROPERTIES,HKD,EQTY,,,
68,257,EB ENVIRONMENT,HKD,EQTY,,,
69,267,CITIC,HKD,EQTY,,,
70,268,KINGDEE INT'L,HKD,EQTY,,,
71,270,GUANGDONG INV,HKD,EQTY,,,
72,272,SHUI ON LAND,HKD,EQTY,,,
73,285,BYD ELECTRONIC,HKD,EQTY,,,
74,288,WH GROUP,HKD,EQTY,,,
75,289,WING ON CO,HKD,EQTY,,,
76,290,GOFINTECH QUANT,HKD,EQTY,,,
77,291,CHINA RES BEER,HKD,EQTY,,,
78,293,CATHAY PAC AIR,HKD,EQTY,,,
79,297,SINOFERT,HKD,EQTY,,,
80,300,MIDEA GROUP,HKD,EQTY,,,
81,303,VTECH HOLDINGS,HKD,EQTY,,,
82,308,CHINA TRAVEL HK,HKD,EQTY,,,
83,315,SMARTONE TELE,HKD,EQTY,,,
84,316,OOIL,HKD,EQTY,,,
85,317,COMEC,HKD,EQTY,,,
86,322,TINGYI,HKD,EQTY,,,
87,323,MAANSHAN IRON,HKD,EQTY,,,
88,325,BLOKS,HKD,EQTY,,,
89,326,CHINA STAR ENT,HKD,EQTY,,,
90,327,PAX GLOBAL,HKD,EQTY,,,
91,336,HUABAO INTL,HKD,EQTY,,,
92,338,SHANGHAI PECHEM,HKD,EQTY,,,
93,340,TONGGUAN GOLD,HKD,EQTY,,,
94,341,CAFE DE CORAL H,HKD,EQTY,,,
95,345,VITASOY INT'L,HKD,EQTY,,,
96,347,ANGANG STEEL,HKD,EQTY,,,
97,354,CHINASOFT INT'L,HKD,EQTY,,,
98,358,JIANGXI COPPER,HKD,EQTY,,,
99,363,SHANGHAI IND H,HKD,EQTY,,,
100,371,BJ ENT WATER,HKD,EQTY,,,
101,373,ALLIED GROUP,HKD,EQTY,,,
102,376,YUNFENG FIN,HKD,EQTY,,,
103,384,CHINA GAS HOLD,HKD,EQTY,,,
104,386,SINOPEC CORP,HKD,EQTY,,,
105,388,HKEX,HKD,EQTY,,,
106,390,CHINA RAILWAY,HKD,EQTY,,,
107,392,BEIJING ENT,HKD,EQTY,,,
108,400,INGDAN,HKD,EQTY,,,
109,405,YUEXIU REIT,HKD,TRST,,,
110,412,SDHG,HKD,EQTY,,,
111,425,MINTH GROUP,HKD,EQTY,,,
112,435,SUNLIGHT REIT,HKD,TRST,,,
113,440,DAH SING,HKD,EQTY,,,
114,451,DYNASTY DIGITAL,HKD,EQTY,,,
115,460,SIHUAN PHARM,HKD,EQTY,,,
116,467,UNITEDENERGY GP,HKD,EQTY,,,
117,470,WUXI LEAD,HKD,EQTY,,,
118,486,RUSAL,HKD,EQTY,,,
119,501,OMNIVISION,HKD,EQTY,,,
120,506,CHINA FOODS,HKD,EQTY,,,
121,512,GRAND PHARMA,HKD,EQTY,,,
122,517,COSCO SHIP INTL,HKD,EQTY,,,
123,521,CWT INT'L,HKD,EQTY,,,
124,522,ASMPT,HKD,EQTY,,,
125,525,GUANGSHEN RAIL,HKD,EQTY,,,
126,546,FUFENG GROUP,HKD,EQTY,,,
127,548,SHENZHENEXPRESS,HKD,EQTY,,,
128,551,YUE YUEN IND,HKD,EQTY,,,
129,552,CHINACOMSERVICE,HKD,EQTY,,,
130,564,ZCZL,HKD,EQTY,,,
131,565,ART GROUP HOLD,HKD,EQTY,,,
132,570,TRAD CHI MED,HKD,EQTY,,,
133,576,ZHEJIANGEXPRESS,HKD,EQTY,,,
134,579,JNCEC,HKD,EQTY,,,
135,580,SUN.KING TECH,HKD,EQTY,,,
136,581,CHINA ORIENTAL,HKD,EQTY,,,
137,586,CONCH VENTURE,HKD,EQTY,,,
138,590,LUK FOOK HOLD,HKD,EQTY,,,
139,598,SINOTRANS,HKD,EQTY,,,
140,604,SHENZHEN INVEST,HKD,EQTY,,,
141,622,OSHIDORI,HKD,EQTY,,,
142,625,SHEIN-W,HKD,EQTY,,,
143,631,SANY INT'L,HKD,EQTY,,,
144,636,KLN,HKD,EQTY,,,
145,639,SHOUGANG RES,HKD,EQTY,,,
146,656,FOSUN INTL,HKD,EQTY,,,
147,659,CTF SERVICES,HKD,EQTY,,,
148,662,ASIA FINANCIAL,HKD,EQTY,,,
149,666,REPT BATTERO,HKD,EQTY,,,
150,667,CHINA EAST EDU,HKD,EQTY,,,
151,669,TECHTRONIC IND,HKD,EQTY,,,
152,670,CHINA EAST AIR,HKD,EQTY,,,
153,683,KERRY PPT,HKD,EQTY,,,
154,688,CHINA OVERSEAS,HKD,EQTY,,,
155,694,BEIJING AIRPORT,HKD,EQTY,,,
156,696,TRAVELSKY TECH,HKD,EQTY,,,
157,697,SHOUCHENG,HKD,EQTY,,,
158,699,JOYSON ELEC,HKD,EQTY,,,
159,700,TENCENT,HKD,EQTY,,,
160,709,GIORDANO INT'L,HKD,EQTY,,,
161,710,BOE VARITRONIX,HKD,EQTY,,,
162,728,CHINA TELECOM,HKD,EQTY,,,
163,732,TRULY INT'L,HKD,EQTY,,,
164,751,SKYWORTH GROUP,HKD,EQTY,,,
165,752,PICO FAR EAST,HKD,EQTY,,,
166,753,AIR CHINA,HKD,EQTY,,,
167,762,CHINA UNICOM,HKD,EQTY,,,
168,763,ZTE,HKD,EQTY,,,
169,772,CHINA LIT,HKD,EQTY,,,
170,775,CKLIFE SCIENCES,HKD,EQTY,,,
171,777,NETDRAGON,HKD,EQTY,,,
172,778,FORTUNE REIT,HKD,TRST,,,
173,780,TONGCHENGTRAVEL,HKD,EQTY,,,
174,788,CHINA TOWER,HKD,EQTY,,,
175,799,IGG,HKD,EQTY,,,
176,800,WERIDE-W,HKD,EQTY,,,
177,806,VALUE PARTNERS,HKD,EQTY,,,
178,807,SIICENVIRONMENT,HKD,EQTY,,,
179,808,PROSPERITY REIT,HKD,TRST,,,
180,811,XINHUA WINSHARE,HKD,EQTY,,,
181,817,CHINA JINMAO,HKD,EQTY,,,
182,819,TIANNENG POWER,HKD,EQTY,,,
183,823,LINK REIT,HKD,TRST,,,
184,826,TIANGONG INT'L,HKD,EQTY,,,
185,836,CHINA RES POWER,HKD,EQTY,,,
186,839,CHINA EDU GROUP,HKD,EQTY,,,
187,853,MICROPORT,HKD,EQTY,,,
188,855,CHINA WATER,HKD,EQTY,,,
189,856,VSTECS,HKD,EQTY,,,
190,857,PETROCHINA,HKD,EQTY,,,
191,861,DC HOLDINGS,HKD,EQTY,,,
192,863,OSL GROUP,HKD,EQTY,,,
193,866,CHINA QINFA,HKD,EQTY,,,
194,867,CMS,HKD,EQTY,,,
195,868,XINYI GLASS,HKD,EQTY,,,
196,874,BAIYUNSHAN PH,HKD,EQTY,,,
197,880,SJM HOLDINGS,HKD,EQTY,,,
198,881,ZHONGSHENG HLDG,HKD,EQTY,,,
199,883,CNOOC,HKD,EQTY,,,
200,901,SDMC,HKD,EQTY,,Add,
201,902,HUANENG POWER,HKD,EQTY,,,
202,914,CONCH CEMENT,HKD,EQTY,,,
203,916,CHINA LONGYUAN,HKD,EQTY,,,
204,917,QUNABOX GROUP,HKD,EQTY,,,
205,921,HISENSE HA,HKD,EQTY,,,
206,931,CHINA HK POWER,HKD,EQTY,,,
207,934,SINOPEC KANTONS,HKD,EQTY,,,
208,939,CCB,HKD,EQTY,,,
209,941,CHINA MOBILE,HKD,EQTY,,,
210,945,MANULIFE-S,HKD,EQTY,,,
211,956,CHINA SUNTIEN,HKD,EQTY,,,
212,960,LONGFOR GROUP,HKD,EQTY,,,
213,966,CHINA TAIPING,HKD,EQTY,,,
214,968,XINYI SOLAR,HKD,EQTY,,,
215,975,MONGOL MINING,HKD,EQTY,,,
216,981,SMIC,HKD,EQTY,,,
217,990,DEEP SOURCE,HKD,EQTY,,,
218,991,DATANG POWER,HKD,EQTY,,,
219,992,LENOVO GROUP,HKD,EQTY,,,
