name,last,r1w,r1m,r3m,ytd,since_list,first,hi52,hi_date,dd,vol60,beta_htech,adv20_hkdm,n
SMIC,68.3,-3.4628975265017736,2.0926756352765086,-5.8580289455547945,-4.408677396780969,252.06185567010309,2024-01-02,91.05,2025-10-06,-24.986271279516746,64.58517438218337,1.1293676866147055,5186.087975005,659
HuaHong,115.1,-6.422764227642286,-18.484419263456086,-16.046681254558713,54.91251682368774,521.4902807775378,2024-01-02,215.2,2026-06-30,-46.51486988847584,97.89890461692245,1.3479519463664584,4189.00860291,659
ASMPT,167.7,2.2560975609756007,3.7747524752475226,-1.2948793407887127,116.5267914783731,128.0081577158396,2024-01-02,238.8,2026-06-30,-29.773869346733672,78.34342314148434,0.9832602339891519,393.30770697,659
FudanMicro,26.46,-4.751619870410373,-1.927353595255743,-1.4157973174366623,-41.615180935569285,94.84536082474226,2024-01-02,56.3,2026-02-12,-53.001776198934266,63.504387444032595,1.173996404674933,76.947908953,659
SolomonSys,0.246,-1.6000000000000014,-8.888888888888902,-29.714285714285715,-42.11764705882353,-21.904761904761905,2024-01-02,0.63,2025-10-02,-60.952380952380956,39.59879418668875,0.684142320858159,0.2870668,659
Nexchip,27.5,-8.026755852842804,-16.10738255033557,,,-14.860681114551078,2026-07-10,36.7,2026-08-17,-25.068119891008177,74.36143850206007,0.914491746274466,53.636638317999996,42
GigaDevice,491.6,1.1106540518305286,-6.893939393939386,-29.266187050359704,,120.64631956912031,2026-01-13,1241.0,2026-06-29,-60.38678485092668,132.45842970560616,0.7390621785364984,1522.71263224,160
Montage,279.0,3.7174721189590976,3.6404160475483005,-19.689119170984448,,59.42857142857143,2026-02-09,501.0,2026-05-13,-44.311377245508986,120.92321866848346,0.6964162288856922,1024.8021468,141
OmniVision,73.05,0.689179875947632,-6.165703275529866,-7.17916137229988,,-40.02463054187192,2026-01-12,121.8,2026-01-12,-40.02463054187192,46.32738635384334,0.8714493490205744,30.16416064,161
SGMicro,88.45,-6.203605514316002,-3.2275711159737486,,,-29.40941739824421,2026-06-26,125.9,2026-07-02,-29.745830023828436,88.08159301515985,1.2433121905626008,60.071056725,51
Novosense,157.0,-2.4844720496894457,7.829670329670324,-9.038238702201618,34.417808219178085,41.44144144144144,2025-12-08,235.0,2026-05-27,-33.19148936170213,84.21098066270781,0.8639396850025497,40.051896320000004,183
NSing,8.85,-4.2207792207792245,-0.3939223410241999,-21.122994652406422,,-21.333333333333336,2026-03-23,16.23,2026-05-19,-45.4713493530499,67.52932102285538,0.0033095115743197573,26.570408899999997,114
Fortior,117.2,-5.3311793214862675,5.300988319856259,-13.569321533923295,-15.683453237410072,-16.165951359084406,2025-07-09,210.2,2025-09-17,-44.243577545195045,64.58137681399428,0.9734514247855944,28.40266543,288
SICC,66.4,0.9885931558935468,-7.905686546463231,-26.140155728587324,13.407344150298893,45.80588493631974,2025-08-20,128.7,2026-05-14,-48.407148407148405,83.82505848101546,0.7705438815575775,177.04342869250002,258
CFMEE,358.0,4.678362573099415,-2.8230184581976014,,,-30.48543689320389,2026-06-26,531.0,2026-06-29,-32.580037664783426,148.11236382570522,1.859446526934394,212.51012671999996,51
Ingenic,101.5,0.0,,,,1.4999999999999902,2026-08-25,101.5,2026-08-31,0.0,48.870954981617885,,120.8061925,10
Biren,41.16,-11.711711711711715,2.8485757121439192,-28.041958041958047,,19.44283226929773,2026-01-02,68.0,2026-06-25,-39.47058823529412,108.6891410502631,1.4453435963872658,494.87350235,167
Iluvatar,339.8,-12.46780010303966,-28.97157190635451,-26.450216450216445,,116.70918367346937,2026-01-08,793.0,2026-06-25,-57.150063051702396,133.91017368188002,1.2908905691355521,810.7463691400001,163
Axera,17.01,-9.328358208955223,19.620253164556978,-1.676300578034673,,-39.68085106382978,2026-02-10,33.9,2026-02-20,-49.82300884955752,98.07789016210214,1.2056744568359326,16.531859295999997,140
BlackSesame,10.62,7.056451612903225,-10.681244743481933,-26.758620689655178,-44.91701244813279,-48.06845965770171,2024-08-08,25.1,2025-10-31,-57.68924302788845,67.55615073192138,1.039202772407007,53.53888214050001,511
Horizon,4.4,-6.779661016949145,-11.99999999999999,-12.871287128712861,-49.19168591224018,7.317073170731736,2024-10-24,10.81,2025-09-18,-59.29694727104533,58.64346136297394,1.012100148988318,607.1996114462501,460
Innoscience,44.5,-2.6258205689277947,-0.9349955476402494,-34.365781710914455,-43.23979591836735,43.5483870967742,2024-12-30,101.6,2025-09-11,-56.2007874015748,76.75126111539366,0.9869021938850585,209.888645593,415
TianyuSemi,38.0,-0.15764582238571023,-0.052603892688063425,-19.286321155480035,-20.833333333333336,-6.172839506172845,2025-12-05,62.35,2026-05-27,-39.05372894947875,48.37668727376745,0.4643695043356861,3.05405075,184
Epiworld,105.8,0.47483380816715215,1.9267822736030782,-3.0247479376718567,,2.7184466019417375,2026-03-30,133.9,2026-06-17,-20.98581030619866,71.45778791517871,0.8540507768209472,25.499164219999997,109
FourSemi,72.0,-23.607427055702924,-27.27272727272727,-32.71028037383178,,-9.999999999999998,2026-03-31,148.0,2026-04-14,-51.35135135135135,69.3584858690984,0.4549066721506126,4.7573591975,108
Gpixel,84.4,-6.326304106548264,13.74663072776281,-9.973333333333322,,20.571428571428573,2026-04-17,111.0,2026-06-30,-23.963963963963963,101.04675850553319,1.3888217961132001,60.785475045,98
Viewtrix,25.72,-7.215007215007219,-10.63238359972204,-16.655865197666884,,-35.53884711779449,2026-05-27,40.22,2026-06-30,-36.05171556439583,75.45624121322824,1.131354146260148,13.366063684,72
Senasic,26.42,-20.5652435357787,-14.443005181347147,,,-36.642685851318944,2026-06-17,41.7,2026-06-17,-36.642685851318944,115.73915933710308,1.0207569704769226,12.001676302,57
BasicSemi,43.54,8.039702233250633,-23.614035087719298,,,31.06562311860326,2026-07-08,72.05,2026-08-24,-39.569743233865374,136.57926523999296,-0.37598132901049,35.864442958,44
Innolight,1203.0,16.90962099125364,8.378378378378383,,,25.312500000000004,2026-07-30,1270.0,2026-08-17,-5.275590551181097,106.24117958067679,0.9056183318314562,1756.5925648,28
Luxshare,61.4,-2.5396825396825418,-3.0781373322809835,,,-1.4446227929374,2026-07-09,64.05,2026-08-27,-4.137392661982819,68.2709161071608,0.7947585761693864,233.31805254749997,43
